AZURE,,,,,,,GCP,,,,,,,AWS,,,,,
Series,Virtual Machine,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Machine Family,Machine type,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Instance Family,Instance Type,vCPUS,Memory (GB),Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq)
Constrained vCPUs capable,E32-16s v4,0.5,256,1432.9,1.4329,,n2d,n2d-standard-16,16,64,2320.5,2.3205,,c5d,c5d.9xlarge,36,72,1544.0944,1.5440944
Constrained vCPUs capable,E32-8s v4,0.25,256,1432.9,1.4329,,n2d,n2d-standard-32,32,128,2320.5,2.3205,,c5d,c5d.12xlarge,48,96,1744.0944,1.7440944
Constrained vCPUs capable,M8-2ms,0.25,219,1431.5,1.4315,,n2d,n2d-standard-48,48,192,2320.5,2.3205,,c5d,c5d.18xlarge,72,144,1544.0944,1.5440944
Constrained vCPUs capable,M8-4ms,0.5,219,1431.5,1.4315,,n2d,n2d-standard-64,64,256,2320.5,2.3205,,c5d,c5d.24xlarge,96,192,1744.0944,1.7440944
Constrained vCPUs capable,E16-4as v4,0.25,128,1305.3,1.3053,,n2d,n2d-standard-80,80,320,2320.5,2.3205,,c5d,c5d.metal,96,192,1744.0944,1.7440944
Constrained vCPUs capable,E16-4ds v4,0.25,128,1305.3,1.3053,,n2d,n2d-standard-96,96,384,2320.5,2.3205,,c5n,c5n.large,2,5.25,1344.0944,1.3440944
Constrained vCPUs capable,E16-4s v3,0.25,128,1305.3,1.3053,,n2d,n2d-standard-128,128,512,2320.5,2.3205,,c5n,c5n.xlarge,4,10.5,1344.0944,1.3440944
Constrained vCPUs capable,E16-8as v4,0.5,128,1305.3,1.3053,,n2d,n2d-standard-224,224,896,2320.5,2.3205,,c5n,c5n.2xlarge,8,21,1344.0944,1.3440944
Constrained vCPUs capable,E16-8ds v4,0.5,128,1305.3,1.3053,,n2d,n2d-highmem-2,2,16,2142.9,2.1429,,c5n,c5n.4xlarge,16,42,1344.0944,1.3440944
Constrained vCPUs capable,E16-8s v3,0.5,128,1305.3,1.3053,,n2d,n2d-highmem-4,4,32,2142.9,2.1429,,c5n,c5n.9xlarge,36,96,1344.0944,1.3440944
Constrained vCPUs capable,DS14-4 v2,0.25,112,1283.1,1.2831,,n2d,n2d-highmem-8,8,64,2142.9,2.1429,,c5n,c5n.18xlarge,72,192,1344.0944,1.3440944
Constrained vCPUs capable,DS14-8 v2,0.5,112,1283.1,1.2831,,n2d,n2d-highmem-16,16,128,2142.9,2.1429,,c5n,c5n.metal,72,192,1344.0944,1.3440944
Constrained vCPUs capable,E16-4s v4,0.25,128,1255.3,1.2553,,n2d,n2d-highmem-32,32,256,2142.9,2.1429,,c6g,c6g.medium,1,2,1155.3328,1.1553328
Constrained vCPUs capable,E16-8s v4,0.5,128,1255.3,1.2553,,n2d,n2d-highmem-48,48,384,2142.9,2.1429,,c6g,c6g.large,2,4,1155.3328,1.1553328
Constrained vCPUs capable,E8-2as v4,0.25,64,1216.6,1.2166,,n2d,n2d-highmem-64,64,512,2142.9,2.1429,,c6g,c6g.xlarge,4,8,1155.3328,1.1553328
Constrained vCPUs capable,E8-2ds v4,0.25,64,1216.6,1.2166,,n2d,n2d-highmem-80,80,640,2142.9,2.1429,,c6g,c6g.2xlarge,8,16,1155.3328,1.1553328
Constrained vCPUs capable,E8-2s v3,0.25,64,1216.6,1.2166,,n2d,n2d-highmem-96,96,768,2142.9,2.1429,,c6g,c6g.4xlarge,16,32,1155.3328,1.1553328
Constrained vCPUs capable,E8-4as v4,0.5,64,1216.6,1.2166,,n2d,n2d-highcpu-2,2,2,1388.5,1.3885,,c6g,c6g.8xlarge,32,64,1155.3328,1.1553328
Constrained vCPUs capable,E8-4ds v4,0.5,64,1216.6,1.2166,,n2d,n2d-highcpu-4,4,4,1388.5,1.3885,,c6g,c6g.12xlarge,48,96,1155.3328,1.1553328
Constrained vCPUs capable,E8-4s v3,0.5,64,1216.6,1.2166,,n2d,n2d-highcpu-8,8,8,1388.5,1.3885,,c6g,c6g.16xlarge,64,128,1155.3328,1.1553328
Constrained vCPUs capable,DS13-2 v2,0.25,56,1205.5,1.2055,,n2d,n2d-highcpu-16,16,16,1388.5,1.3885,,c6g,c6g.metal,64,128,1155.3328,1.1553328
Constrained vCPUs capable,DS13-4 v2,0.5,56,1205.5,1.2055,,n2d,n2d-highcpu-32,32,32,1388.5,1.3885,,c6gd,c6gd.medium,1,2,1355.3328,1.3553328
Constrained vCPUs capable,E4-2as v4,0.5,32,1172.2,1.1722,,n2d,n2d-highcpu-48,48,48,1388.5,1.3885,,c6gd,c6gd.large,2,4,1355.3328,1.3553328
Constrained vCPUs capable,E4-2ds v4,0.5,32,1172.2,1.1722,,n2d,n2d-highcpu-64,64,64,1388.5,1.3885,,c6gd,c6gd.xlarge,4,8,1355.3328,1.3553328
Constrained vCPUs capable,E4-2s v3,0.5,32,1172.2,1.1722,,n2d,n2d-highcpu-80,80,80,1388.5,1.3885,,c6gd,c6gd.2xlarge,8,16,1355.3328,1.3553328
Constrained vCPUs capable,DS12-1 v2,0.25,28,1166.6,1.1666,,n2d,n2d-highcpu-96,96,96,1388.5,1.3885,,c6gd,c6gd.4xlarge,16,32,1355.3328,1.3553328
Constrained vCPUs capable,DS12-2 v2,0.5,28,1166.6,1.1666,,n2d,n2d-highcpu-128,128,128,1388.5,1.3885,,c6gd,c6gd.8xlarge,32,64,1355.3328,1.3553328
Constrained vCPUs capable,E8-2s v4,0.25,64,1166.6,1.1666,,n2d,n2d-highcpu-224,224,224,1388.5,1.3885,,c6gd,c6gd.12xlarge,48,96,1355.3328,1.3553328
Constrained vCPUs capable,E8-4s v4,0.5,64,1166.6,1.1666,,t2d,t2d-standard-1,1,4,1310.7,1.3107,,c6gd,c6gd.16xlarge,64,128,1355.3328,1.3553328
Constrained vCPUs capable,DS11-1 v2,0.5,14,1150.0,1.15,,t2d,t2d-standard-2,2,8,1310.7,1.3107,,c6gd,c6gd.metal,64,128,1355.3328,1.3553328
Constrained vCPUs capable,E4-2s v4,0.5,32,1122.2,1.1222,,t2d,t2d-standard-4,4,16,1310.7,1.3107,,c6gn,c6gn.medium,1,2,1155.3328,1.1553328
D1-5 v2,D1 v2,1,44319,1905.9,1.9059,,t2d,t2d-standard-8,8,32,1310.7,1.3107,,c6gn,c6gn.large,2,4,1155.3328,1.1553328
D1-5 v2,D2 v2,2,7,1205.5,1.2055,,t2d,t2d-standard-16,16,64,1310.7,1.3107,,c6gn,c6gn.xlarge,4,8,1155.3328,1.1553328
D1-5 v2,D3 v2,4,14,1205.5,1.2055,,t2d,t2d-standard-32,32,128,1310.7,1.3107,,c6gn,c6gn.2xlarge,8,16,1155.3328,1.1553328
D1-5 v2,D4 v2,8,28,1205.5,1.2055,,t2d,t2d-standard-48,48,192,1310.7,1.3107,,c6gn,c6gn.4xlarge,16,32,1155.3328,1.1553328
D1-5 v2,D5 v2,16,56,1205.5,1.2055,,t2d,t2d-standard-60,60,240,1310.7,1.3107,,c6gn,c6gn.8xlarge,32,64,1155.3328,1.1553328
D11-15 v2,D11 v2,2,14,1234.6,1.2346,,n1,n1-standard-1,1,3.75,1677.1,1.6771,,c6gn,c6gn.12xlarge,48,96,1155.3328,1.1553328
D11-15 v2,D12 v2,4,28,1322.0,1.322,,n1,n1-standard-2,2,7.5,1677.1,1.6771,,c6gn,c6gn.16xlarge,64,128,1155.3328,1.1553328
D11-15 v2,D13 v2,8,56,1322.0,1.322,,n1,n1-standard-4,4,15,1677.1,1.6771,,d2,d2.xlarge,4,30.5,2616.2132,2.6162132
D11-15 v2,D14 v2,16,112,1322.0,1.322,,n1,n1-standard-8,8,30,1677.1,1.6771,,d2,d2.2xlarge,8,61,2616.2132,2.6162132
D11-15 v2,D15 v2,20,140,1322.0,1.322,,n1,n1-standard-16,16,60,1677.1,1.6771,,d2,d2.4xlarge,16,122,2616.2132,2.6162132
D11-15 v2,D15i v2 1,20,140,1322.0,1.322,,n1,n1-standard-32,32,120,1677.1,1.6771,,d2,d2.8xlarge,36,244,2616.2132,2.6162132
D11S-15S v2,DS11 v2,2,14,1322.0,1.322,,n1,n1-standard-64,64,240,1677.1,1.6771,,d3,d3.xlarge,4,32,2632.856,2.632856
D11S-15S v2,DS12 v2,4,28,1322.0,1.322,,n1,n1-standard-96,96,360,1677.1,1.6771,,d3,d3.2xlarge,8,64,2632.856,2.632856
D11S-15S v2,DS13 v2,8,56,1322.0,1.322,,n1,n1-highmem-2,2,13,2043.2,2.0432,,d3,d3.4xlarge,16,128,2632.856,2.632856
D11S-15S v2,DS14 v2,16,112,1322.0,1.322,,n1,n1-highmem-4,4,26,2043.2,2.0432,,d3,d3.8xlarge,32,256,2632.856,2.632856
D11S-15S v2,DS15 v2,20,140,1322.0,1.322,,n1,n1-highmem-8,8,52,2043.2,2.0432,,d3en,d3en.xlarge,4,16,2544.0944,2.5440944
D11S-15S v2,DS15i v2 1,20,140,1322.0,1.322,,n1,n1-highmem-16,16,104,2043.2,2.0432,,d3en,d3en.2xlarge,8,32,2544.0944,2.5440944
D1s-5s v2,DS1 v2,1,44319,1305.4,1.3054,,n1,n1-highmem-32,32,208,2043.2,2.0432,,d3en,d3en.4xlarge,16,64,2544.0944,2.5440944
D1s-5s v2,DS2 v2,2,7,1255.5,1.2555,,n1,n1-highmem-64,64,416,2043.2,2.0432,,d3en,d3en.6xlarge,24,96,2544.0944,2.5440944
D1s-5s v2,DS3 v2,4,14,1255.5,1.2555,,n1,n1-highmem-96,96,624,2043.2,2.0432,,d3en,d3en.8xlarge,32,128,2544.0944,2.5440944
D1s-5s v2,DS4 v2,8,28,1255.5,1.2555,,n1,n1-highcpu-2,2,1.8,1297.6,1.2976,,d3en,d3en.12xlarge,48,192,2544.0944,2.5440944
D1s-5s v2,DS5 v2,16,56,1255.5,1.2555,,n1,n1-highcpu-4,4,3.6,1297.6,1.2976,,dc2,dc2.large,2,15,1816.2132,1.8162132
